R,P,region,rbm_cycles,baseline_cycles,cycle_speedup,cycle_saved,rbm_time_s,baseline_time_s,time_speedup,time_saved_s,max_abs_energy_diff
1,58,mature upper,17,85,5.0,68,1.44,16.4,11.388888888888888,14.959999999999999,1.454392162258955e-13
1,59,mature upper,17,85,5.0,68,1.45,15.799999999999999,10.89655172413793,14.35,1.2759238110504612e-13
1,60,mature upper,17,85,5.0,68,1.43,16.099999999999998,11.258741258741258,14.669999999999998,1.0708101072509635e-13
1,61,mature upper,18,85,4.722222222222222,67,1.47,15.799999999999999,10.74829931972789,14.329999999999998,1.6989187834326458e-13
1,62,mature upper,18,85,4.722222222222222,67,1.51,16.0,10.596026490066226,14.49,2.0669577160958852e-13
1,63,mature upper,18,85,4.722222222222222,67,1.52,15.6,10.263157894736842,14.08,1.5951129306301937e-13
1,64,mature upper,17,85,5.0,68,1.45,15.7,10.827586206896552,14.25,1.6897594434794883e-13
1,65,mature upper,17,85,5.0,68,1.42,16.0,11.267605633802818,14.58,1.9884094371036554e-13
1,66,mature upper,18,85,4.722222222222222,67,1.51,16.2,10.728476821192052,14.69,2.3170354523927017e-13
1,67,mature upper,19,85,4.473684210526316,66,1.5599999999999998,15.7,10.064102564102564,14.139999999999999,1.5690226895515025e-13
1,68,mature upper,18,85,4.722222222222222,67,1.5,16.099999999999998,10.733333333333333,14.599999999999998,1.9229062786507711e-13
1,69,mature upper,17,85,5.0,68,1.42,15.799999999999999,11.126760563380282,14.379999999999999,1.0963452368173421e-13
1,70,mature upper,18,85,4.722222222222222,67,1.51,16.2,10.728476821192052,14.69,1.8213208718975693e-13
1,71,mature upper,17,85,5.0,68,1.45,15.799999999999999,10.89655172413793,14.35,1.847966224488573e-13
1,72,mature upper,18,85,4.722222222222222,67,1.49,16.4,11.006711409395972,14.909999999999998,1.856570452929418e-13
1,73,mature upper,17,85,5.0,68,1.47,15.7,10.680272108843537,14.229999999999999,1.8293699888261017e-13
1,74,mature upper,18,85,4.722222222222222,67,1.52,16.099999999999998,10.592105263157894,14.579999999999998,2.0747292772682613e-13
1,75,mature upper,19,85,4.473684210526316,66,1.54,15.799999999999999,10.259740259740258,14.259999999999998,2.090827511125326e-13
1,76,mature upper,17,85,5.0,68,1.45,16.3,11.24137931034483,14.850000000000001,1.6364687382974807e-13
1,77,mature upper,18,85,4.722222222222222,67,1.51,16.0,10.596026490066226,14.49,1.8918200339612667e-13
1,78,mature upper,17,85,5.0,68,1.48,16.3,11.013513513513514,14.82,2.02171612784241e-13
1,79,mature upper,17,85,5.0,68,1.45,15.5,10.689655172413794,14.05,2.2029600366124669e-13
1,80,mature upper,18,85,4.722222222222222,67,1.49,16.099999999999998,10.805369127516776,14.609999999999998,1.7563728249569976e-13
1,81,mature upper,18,85,4.722222222222222,67,1.54,16.099999999999998,10.454545454545453,14.559999999999999,1.8307577676068831e-13
1,82,mature upper,19,85,4.473684210526316,66,1.53,15.799999999999999,10.326797385620914,14.27,1.5468182290589993e-13
1,83,mature upper,18,85,4.722222222222222,67,1.49,16.3,10.939597315436242,14.81,1.5523693441821251e-13
1,84,mature upper,17,85,5.0,68,1.45,16.5,11.379310344827587,15.05,1.662558979376172e-13
1,85,mature upper,17,85,5.0,68,1.49,16.3,10.939597315436242,14.81,2.400857290751901e-13
1,86,mature upper,16,85,5.3125,69,1.4,16.2,11.571428571428571,14.799999999999999,1.9245716131877089e-13
1,87,mature upper,18,85,4.722222222222222,67,1.54,16.0,10.38961038961039,14.46,1.3117285035946225e-13
1,88,mature upper,18,85,4.722222222222222,67,1.5699999999999998,15.0,9.554140127388536,13.43,1.1285417045314716e-13
2,0,mature lower,17,85,5.0,68,1.47,16.099999999999998,10.95238095238095,14.629999999999997,2.0208834605739412e-13
2,1,mature lower,17,85,5.0,68,1.47,16.3,11.088435374149661,14.83,1.7824630660356888e-13
2,2,mature lower,17,85,5.0,68,1.49,15.2,10.201342281879194,13.709999999999999,1.9020895969390494e-13
